total_laid_off,company_name,stage_group,industry_name,city,country,latitude,longitude,year,quarter
75.0,Palantir,Mature/Public,Data,Denver,USA,39.7392364,-104.984862,2023.0,1.0
200.0,Software AG,Mature/Public,Data,Frankfurt am Main,Germany,50.1106444,8.6820917,2023.0,1.0
80.0,Qumulo,Late Stage,Data,Seattle,USA,47.6038321,-122.330062,2022.0,2.0
70.0,BitTitan,Mature/Public,Data,Seattle,USA,47.6038321,-122.330062,2021.0,4.0
12.0,Descartes Labs,Growth Stage,Data,Santa Fe,USA,35.6876096,-105.938456,2020.0,2.0
700.0,NetApp,Mature/Public,Data,San Jose,USA,37.3361663,-121.890591,2025.0,2.0
70.0,Splunk,Mature/Public,Data,San Jose,USA,37.3361663,-121.890591,2020.0,2.0
500.0,Splunk,Mature/Public,Data,San Jose,USA,37.3361663,-121.890591,2023.0,4.0
325.0,Splunk,Mature/Public,Data,San Jose,USA,37.3361663,-121.890591,2023.0,1.0
80.0,App Annie,Unknown,Data,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
65.0,Mixpanel,Growth Stage,Data,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
50.0,Segment,Growth Stage,Data,San Francisco,USA,37.7792588,-122.4193286,2020.0,2.0
27.0,SafeGraph,Growth Stage,Data,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
65.0,BeyondMinds,Early Stage,Data,Tel Aviv,Israel,32.0852997,34.7818064,2022.0,2.0
30.0,Bright Machines,Unknown,Data,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
30.0,Pecan AI,Growth Stage,Data,Tel Aviv,Israel,32.0852997,34.7818064,2023.0,1.0
65.0,InfluxData,Growth Stage,Data,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
1200.0,OpenText,Mature/Public,Data,Waterloo,Canada,43.4652699,-80.5222961,2024.0,3.0
59.0,Rasa,Growth Stage,Data,Berlin,Germany,52.5170365,13.3888599,2022.0,1.0
100.0,AppsFlyer,Unknown,Data,San Francisco,USA,37.7792588,-122.4193286,2025.0,1.0
90.0,Domo,Mature/Public,Data,Salt Lake City,USA,40.7596198,-111.886797,2020.0,2.0
200.0,DataRobot,Late Stage,Data,Boston,USA,42.3554334,-71.060511,2020.0,1.0
84.0,MariaDB,Mature/Public,Data,Redwood City,USA,37.4863239,-122.232523,2023.0,4.0
22.0,Citrine Informatics,Growth Stage,Data,Redwood City,USA,37.4863239,-122.232523,2023.0,1.0
100.0,Sisense,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2023.0,3.0
60.0,Sisense,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2024.0,1.0
80.0,Sisense,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2020.0,2.0
60.0,Verbit,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2023.0,3.0
80.0,Verbit,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2022.0,3.0
241.0,UiPath,Mature/Public,Data,New York City,USA,40.7127281,-74.0060152,2022.0,4.0
100.0,Hyperscience,Late Stage,Data,New York City,USA,40.7127281,-74.0060152,2022.0,1.0
242.0,DataRobot,Late Stage,Data,Boston,USA,42.3554334,-71.060511,2022.0,3.0
70.0,DataRobot,Late Stage,Data,Boston,USA,42.3554334,-71.060511,2022.0,2.0
30.0,SQream,Growth Stage,Data,New York City,USA,40.7127281,-74.0060152,2022.0,3.0
20.0,NuoDB,Unknown,Data,Boston,USA,42.3554334,-71.060511,2020.0,2.0
210.0,UiPath,Mature/Public,Data,New York City,USA,40.7127281,-74.0060152,2022.0,2.0
12.0,Pliops,Growth Stage,Data,Tel Aviv,Israel,32.0852997,34.7818064,2022.0,3.0
35.0,Anodot,Growth Stage,Data,Tel Aviv,Israel,32.0852997,34.7818064,2022.0,3.0
221.0,Confluent,Mature/Public,Data,Mountain View,USA,37.3893889,-122.0832101,2023.0,1.0
21.0,StellarAlgo,Early Stage,Data,Calgary,Canada,51.0456064,-114.057541,2023.0,4.0
24.0,Revelate,Early Stage,Data,Montreal,Canada,45.5031824,-73.5698065,2022.0,4.0
25.0,Code42,Growth Stage,Data,Minneapolis,USA,44.9772995,-93.2654692,2020.0,2.0
99.0,Amplitude,Mature/Public,Data,Milpitas,USA,37.4332273,-121.8989248,2023.0,2.0
20.0,GrayMeta,Unknown,Data,Los Angeles,USA,34.0536909,-118.242766,2020.0,1.0
320.0,Alteryx,Mature/Public,Data,Los Angeles,USA,34.0536909,-118.242766,2023.0,2.0
100.0,Astronomer,Growth Stage,Data,Cincinnati,USA,39.1014537,-84.5124602,2023.0,2.0
500.0,eBay,Mature/Public,e-commerce,San Francisco,USA,37.7792588,-122.4193286,2023.0,1.0
1000.0,eBay,Mature/Public,e-commerce,San Francisco,USA,37.7792588,-122.4193286,2024.0,1.0
7.0,Coding Dojo,Unknown,Education,Seattle,USA,47.6038321,-122.330062,2020.0,2.0
90.0,ApplyBoard,Growth Stage,Education,Waterloo,Canada,43.4652699,-80.5222961,2022.0,4.0
47.0,Trybe,Growth Stage,Education,Sao Paulo,Brazil,-23.5506507,-46.6333824,2022.0,3.0
128.0,Trybe,Growth Stage,Education,Sao Paulo,Brazil,-23.5506507,-46.6333824,2023.0,2.0
16.0,Top Hat,Growth Stage,Education,Toronto,Canada,43.6534817,-79.3839347,2020.0,2.0
100.0,Thinkific,Mature/Public,Education,Vancouver,Canada,49.2608724,-123.113952,2022.0,1.0
76.0,Thinkific,Mature/Public,Education,Vancouver,Canada,49.2608724,-123.113952,2023.0,1.0
60.0,Career Karma,Growth Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2022.0,3.0
27.0,LearnUpon,Mature/Public,Education,Dublin,Ireland,53.3493795,-6.2605593,2023.0,1.0
120.0,Physics Wallah,Early Stage,Education,Noida,India,28.5706333,77.3272147,2023.0,4.0
26.0,Preply,Growth Stage,Education,Boston,USA,42.3554334,-71.060511,2022.0,2.0
15.0,Turnitin,Mature/Public,Education,Oakland,USA,37.8044557,-122.271356,2024.0,1.0
24.0,Niche,Growth Stage,Education,Pittsburgh,USA,40.4416941,-79.9900861,2024.0,1.0
41.0,Treehouse,Growth Stage,Education,Portland,USA,45.5202471,-122.674194,2021.0,3.0
42.0,Course Hero,Growth Stage,Education,Redwood City,USA,37.4863239,-122.232523,2023.0,1.0
12.0,BookClub,Early Stage,Education,Salt Lake City,USA,40.7596198,-111.886797,2022.0,2.0
150.0,Instructure,Mature/Public,Education,Salt Lake City,USA,40.7596198,-111.886797,2020.0,2.0
400.0,Pluralsight,Mature/Public,Education,Salt Lake City,USA,40.7596198,-111.886797,2022.0,4.0
43.0,Outschool,Growth Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2022.0,4.0
31.0,Outschool,Growth Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2022.0,3.0
29.0,SchoolMint,Mature/Public,Education,San Francisco,USA,37.7792588,-122.4193286,2023.0,4.0
37.0,Flockjay,Early Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2021.0,3.0
150.0,Domestika,Growth Stage,Education,Berkeley,USA,37.8708393,-122.272863,2022.0,2.0
120.0,MasterClass,Late Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
50.0,Wonderschool,Early Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2020.0,1.0
72.0,On Deck,Early Stage,Education,San Francisco,USA,37.7792588,-122.4193286,2022.0,2.0
